城区,卧室数,面积（平方米）,厅数,楼层,地铁,学区,单位面积房价(万元/平方米)
朝阳,1,46.06,无厅,中,是,否,4.885
朝阳,1,59.09,有厅,中,是,否,4.654
海淀,5,278.95,有厅,高,是,是,7.1662
海淀,3,207,有厅,高,是,是,5.7972
丰台,2,53.32,有厅,低,是,是,7.1268
丰台,2,58,有厅,低,是,是,7.069
海淀,2,55.8,有厅,低,是,是,5.7348
海淀,2,58.9,有厅,中,是,是,5.5179
海淀,2,66.9,有厅,中,是,是,4.5591
丰台,2,53,有厅,中,是,否,7.3585
朝阳,2,94.19,有厅,中,是,否,6.0516
朝阳,1,38.94,无厅,高,是,否,5.6498
朝阳,1,48,无厅,高,是,否,5.5209
朝阳,1,36.74,无厅,中,是,否,5.4437
朝阳,1,45,无厅,低,是,否,5.3334
朝阳,1,92.98,有厅,中,是,否,5.0549
朝阳,1,64.6,有厅,中,是,否,6.8576
朝阳,1,80.74,有厅,低,是,否,6.6634
朝阳,1,81,有厅,低,是,否,6.605
朝阳,1,78.23,有厅,低,是,否,6.7749
朝阳,4,218.28,有厅,低,是,是,7.101
丰台,1,46,有厅,低,是,否,5.2174
丰台,1,46.39,有厅,低,是,否,4.57
丰台,2,58,有厅,低,是,否,4.569
丰台,1,46.39,有厅,高,是,否,4.5269
丰台,1,46.39,无厅,中,是,否,4.4191
丰台,1,46.39,有厅,低,是,否,4.4191
丰台,1,60.56,有厅,高,是,否,4.3429
丰台,1,48.44,有厅,高,是,否,3.9637
朝阳,1,71.77,无厅,高,是,否,3.6227
朝阳,3,141,有厅,高,是,否,4.5036
朝阳,3,143.19,有厅,低,是,否,3.9109
朝阳,3,146.72,有厅,中,是,否,3.8509
朝阳,3,155.3,有厅,高,是,否,7.727
朝阳,3,150.4,有厅,中,是,否,7.4469
朝阳,2,119.13,有厅,中,是,否,7.3869
朝阳,3,139.01,有厅,高,是,否,7.1938
朝阳,1,46.44,无厅,高,是,否,7.106
朝阳,4,192.68,有厅,高,是,否,7.0065
朝阳,2,116.64,有厅,中,是,否,6.5587
朝阳,2,117,有厅,中,是,否,6.3077
朝阳,1,66.36,无厅,高,是,否,6.1785
朝阳,1,54.62,无厅,高,是,否,6.0418
朝阳,1,53.44,无厅,低,是,否,5.8009
海淀,4,212,有厅,低,是,否,9.9057
朝阳,2,79,有厅,高,是,是,4.9368
朝阳,3,135.62,有厅,中,是,是,4.8666
朝阳,2,111.1,有厅,高,是,是,4.7705
朝阳,1,62.56,无厅,低,是,是,4.0122
海淀,1,49.96,无厅,低,是,是,8.6069
海淀,1,76.17,有厅,中,是,是,7.2207
海淀,1,89.2,有厅,中,是,是,6.7265
海淀,2,89.2,有厅,中,是,是,6.4462
西城,2,57.5,有厅,中,是,是,11.4435
西城,2,57.7,有厅,中,是,是,11.4039
西城,1,48.4,有厅,中,是,是,11.1571
西城,2,58.3,有厅,低,是,是,11.1493
西城,2,51.3,有厅,中,是,是,10.5264
西城,2,57.7,有厅,高,是,是,10.4853
西城,2,74,有厅,高,是,是,10.4055
西城,3,72.9,有厅,高,是,是,9.7394
西城,2,59.1,有厅,高,是,是,9.4755
朝阳,1,93.78,有厅,中,是,否,6.4513
朝阳,3,133.58,有厅,低,是,否,5.989
朝阳,3,163.68,有厅,高,是,否,5.8652
朝阳,3,133.05,有厅,低,是,否,5.8475
朝阳,4,147.09,有厅,低,是,否,5.8332
朝阳,3,145.87,有厅,高,是,否,5.8272
朝阳,2,94.15,有厅,高,是,否,6.0542
朝阳,2,87.81,有厅,高,是,否,5.6942
朝阳,2,88.88,有厅,低,是,否,5.6256
朝阳,3,127.79,有厅,低,是,否,6.2603
朝阳,2,68.69,有厅,低,是,否,6.1145
朝阳,1,63,有厅,中,是,否,5.8731
朝阳,2,110.71,有厅,高,是,否,5.8712
朝阳,2,105,有厅,低,是,否,5.2381
西城,2,50.4,有厅,高,是,是,13.4921
西城,2,48.5,有厅,低,是,是,11.2372
西城,2,62.1,有厅,高,是,是,10.145
东城,3,71.78,有厅,高,是,是,8.7769
东城,2,53.79,有厅,低,是,是,9.8532
东城,1,46.87,有厅,高,是,是,9.6011
东城,1,46.87,有厅,低,是,是,9.3877
东城,3,89.12,有厅,低,是,是,8.4493
东城,2,71,有厅,低,是,是,7.324
西城,2,88.4,有厅,低,是,是,11.3123
西城,2,40.1,有厅,低,是,否,10.9477
西城,2,51.38,有厅,中,是,是,10.8992
西城,2,55,有厅,低,是,否,10.691
西城,1,43.5,有厅,高,是,是,10.6897
西城,2,55,有厅,低,是,是,10.5455
西城,1,42.8,有厅,低,是,是,10.5141
西城,3,67.1,有厅,低,是,是,10.3577
西城,2,50.4,有厅,高,是,否,10.3175
西城,2,82.8,有厅,高,是,是,9.6619
西城,2,63,有厅,低,是,否,9.5556
西城,2,61.8,有厅,低,是,是,9.547
西城,2,59.3,有厅,中,是,否,9.2749
西城,2,63.5,有厅,高,是,否,9.2599
西城,2,64.2,有厅,高,是,否,9.1745
西城,2,64,有厅,高,是,否,9.0625
西城,3,134.6,有厅,低,是,否,8.9154
东城,3,67,有厅,低,是,是,8.6568
东城,3,73.18,有厅,低,是,是,8.199
东城,2,50.39,有厅,高,是,是,8.0374
东城,3,69,有厅,中,是,是,8
东城,1,46.6,有厅,低,是,是,7.897
东城,3,56.5,有厅,中,是,是,7.8762
东城,3,72,有厅,高,是,是,7.6389
东城,2,59,有厅,中,是,是,7.6272
东城,1,43.31,有厅,中,是,是,7.6195
东城,2,59.33,有厅,高,是,是,7.5847
东城,2,60,有厅,中,是,是,7.5
东城,2,58.38,有厅,低,是,是,7.3656
东城,1,46.07,有厅,高,是,是,7.2716
东城,2,59.33,有厅,高,是,是,7.1634
东城,1,36.7,有厅,高,是,是,7.0845
东城,2,57.84,有厅,高,是,是,7.4344
东城,2,57.84,有厅,高,是,是,7.2615
东城,3,70.21,有厅,高,是,是,7.0503
东城,2,64.34,有厅,中,是,是,6.9941
东城,3,88.69,无厅,低,是,是,6.0887
东城,2,47.5,有厅,高,是,是,8.5264
东城,2,46.39,有厅,低,是,是,8.407
东城,1,44,有厅,高,是,是,8.3637
东城,3,62.64,有厅,低,是,是,8.3015
东城,3,111.04,有厅,低,是,是,8.0602
东城,3,111.04,有厅,低,是,是,8.0152
东城,3,73.45,无厅,高,是,是,7.4881
东城,2,54.41,有厅,低,是,是,7.1679
西城,4,200.46,有厅,中,是,否,11.4737
西城,1,56.46,有厅,低,是,否,11.4418
西城,2,75.73,有厅,低,是,否,11.0261
西城,2,74.75,有厅,高,是,是,10.9031
西城,3,88.76,有厅,低,是,是,10.8157
西城,2,66.64,有厅,低,是,否,10.8044
西城,1,58.99,有厅,中,是,否,10.5951
西城,2,75.42,有厅,低,是,否,10.541
西城,2,71.79,有厅,高,是,是,10.1686
西城,2,72.79,有厅,高,是,否,10.0289
西城,2,65.12,有厅,中,是,否,9.8281
西城,3,88.86,有厅,低,是,否,9.003
东城,2,65.59,有厅,高,是,否,7.6232
东城,2,52.2,有厅,中,是,否,7.4713
东城,3,88,有厅,高,是,否,7.0455
东城,3,88.24,有厅,中,是,否,6.7997
东城,2,68,有厅,中,是,否,6.6177
东城,1,43.55,有厅,高,是,否,9.1849
东城,5,148.4,有厅,低,是,否,11.4556
朝阳,2,84.61,有厅,低,是,是,6.6896
朝阳,2,58.52,有厅,高,是,否,5.8955
朝阳,2,57.85,有厅,高,是,否,5.618
朝阳,2,59.06,有厅,低,是,否,5.4183
朝阳,2,63.88,有厅,低,是,否,6.8097
朝阳,2,61,有厅,高,是,否,5.5738
朝阳,3,84.25,有厅,中,是,否,5.5193
朝阳,3,78.63,有厅,高,是,否,5.2398
朝阳,2,55.27,有厅,中,是,否,6.1336
朝阳,2,51.21,有厅,低,是,否,5.663
朝阳,2,53.24,有厅,高,是,否,7.2315
朝阳,3,74.57,有厅,中,是,否,6.0346
朝阳,3,74.57,有厅,高,是,否,5.8335
朝阳,2,73.87,有厅,中,是,否,5.6857
朝阳,3,63.32,有厅,高,是,否,5.6855
朝阳,2,56.98,有厅,高,是,否,5.6161
朝阳,3,76.1,有厅,高,是,否,6.5704
朝阳,2,51,有厅,低,是,否,5.8824
朝阳,2,57.26,有厅,高,是,否,6.6714
朝阳,1,42,有厅,高,是,否,5.7858
东城,2,52.98,有厅,高,是,是,7.3613
东城,2,67,有厅,低,是,是,7.1642
东城,2,50,无厅,高,是,是,7
东城,2,75,有厅,高,是,是,6.6667
东城,2,71.17,有厅,高,是,是,6.4353
东城,3,74.82,有厅,低,是,是,5.6135
东城,1,63,有厅,低,是,是,7.5397
东城,2,82.27,有厅,中,是,是,7.5362
东城,2,80.19,有厅,中,是,是,7.1082
东城,2,71.75,有厅,低,是,是,6.9687
朝阳,2,60.19,有厅,高,是,是,5.4827
朝阳,3,80,有厅,高,是,是,5.375
朝阳,2,64.21,有厅,中,是,是,7.4755
朝阳,1,51.01,有厅,高,是,是,5.6852
朝阳,3,82.19,有厅,高,是,是,5.2927
朝阳,3,119.01,有厅,高,是,是,6.302
朝阳,1,48,有厅,高,是,是,6.25
朝阳,2,59,有厅,高,是,是,6.0339
朝阳,2,103.82,有厅,中,是,是,5.7793
朝阳,2,85.11,有厅,中,是,是,5.7573
朝阳,2,104.99,有厅,高,是,是,5.7149
朝阳,2,77.24,有厅,低,是,是,5.3729
朝阳,2,94.15,有厅,高,是,是,5.3107
朝阳,2,85,有厅,低,是,是,5.0589
朝阳,2,85.11,有厅,中,是,是,5.0523
朝阳,3,139.5,有厅,中,是,是,5.018
朝阳,2,111.55,有厅,中,是,是,4.7961
朝阳,4,185,有厅,中,是,是,4.7568
朝阳,2,53.69,有厅,低,是,是,5.9602
朝阳,2,56.4,有厅,低,是,是,5.9398
朝阳,2,57.09,有厅,低,是,是,5.868
朝阳,2,58,有厅,中,是,是,5.8621
朝阳,1,40.4,有厅,低,是,是,5.6931
朝阳,3,78.3,有厅,中,是,是,5.6195
朝阳,2,57.09,有厅,低,是,是,5.6052
朝阳,2,57.09,有厅,中,是,是,5.5177
朝阳,2,57.43,有厅,中,否,是,5.485
朝阳,2,54.21,有厅,高,是,是,7.7477
朝阳,2,67.15,有厅,中,是,是,6.7015
朝阳,2,56.76,有厅,高,是,是,6.6949
朝阳,1,44.95,有厅,高,是,是,6.6741
朝阳,3,76.5,有厅,高,是,是,6.536
朝阳,2,70,有厅,中,是,是,6.2858
朝阳,2,71,有厅,中,是,是,6.2677
朝阳,3,83.59,有厅,高,是,是,5.9816
朝阳,3,79.78,有厅,低,是,是,5.8286
朝阳,3,85.27,有厅,低,是,是,5.6292
朝阳,3,80,有厅,低,是,是,5.625
朝阳,3,78.34,有厅,低,是,是,5.6166
朝阳,3,75.06,有厅,低,是,是,5.529
朝阳,4,118,有厅,高,是,是,5.5085
朝阳,2,79.29,有厅,中,是,是,5.8646
朝阳,2,57,有厅,中,是,是,5.2632
朝阳,3,67.04,有厅,中,是,是,6.3395
朝阳,3,68.57,有厅,中,是,是,6.0668
朝阳,2,54.31,有厅,高,是,是,5.8922
朝阳,2,64.68,有厅,低,是,是,5.8751
朝阳,2,64.98,有厅,低,是,是,5.848
朝阳,2,54.97,有厅,低,是,是,5.7668
丰台,2,57.96,有厅,中,是,否,4.4859
丰台,2,57.84,有厅,高,是,否,4.305
丰台,1,48.02,有厅,高,是,是,6.4557
丰台,1,48.08,有厅,高,是,是,6.0733
东城,2,57.34,有厅,高,是,否,4.36
东城,2,57.91,有厅,高,是,否,4.3171
东城,3,77.66,有厅,高,是,否,3.863
东城,1,37.74,无厅,高,是,否,4.7695
海淀,1,36.43,无厅,中,否,否,6.4508
海淀,1,38,无厅,中,否,否,6.1843
海淀,3,95.52,有厅,低,否,否,6.0721
海淀,1,39,无厅,低,否,否,6.0257
海淀,2,85.04,有厅,高,否,否,5.7032
海淀,2,88.58,有厅,低,否,否,5.2495
海淀,1,42,有厅,低,否,否,5.9524
海淀,1,42,有厅,中,否,否,5.4762
海淀,2,59,有厅,低,否,否,5.339
海淀,2,60.85,有厅,中,否,否,5.1767
海淀,3,75,有厅,低,否,否,5.1334
海淀,2,71.3,有厅,高,否,否,4.9089
海淀,2,74.28,有厅,中,否,否,5.6947
海淀,2,71.37,有厅,中,否,否,5.4085
海淀,2,73,有厅,中,否,否,5.2055
海淀,2,73.05,有厅,中,否,否,5.1746
海淀,1,48.55,有厅,高,否,否,5.1082
海淀,2,73.49,有厅,中,否,否,5.0347
海淀,1,55.75,有厅,中,否,是,5.0225
海淀,2,82.97,有厅,低,否,否,4.7608
海淀,3,91.14,有厅,中,否,否,4.6632
海淀,1,59,有厅,高,否,否,4.5763
海淀,2,67,有厅,中,否,否,4.4777
海淀,2,97.45,有厅,低,否,否,4.4126
海淀,3,102,有厅,中,否,否,4.2157
海淀,3,106,有厅,高,否,否,4.151
海淀,3,105,有厅,高,否,否,4.0953
海淀,4,116.24,有厅,高,否,否,3.9574
海淀,3,106.42,有厅,高,否,否,3.8527
海淀,4,131.98,有厅,高,否,否,3.637
海淀,4,131,有厅,高,否,否,3.5115
朝阳,2,107.74,有厅,中,是,否,6.3115
东城,2,61.11,有厅,中,是,否,6.922
东城,3,81.73,有厅,高,是,否,6.9131
东城,1,46.83,有厅,高,是,否,6.4062
东城,1,46.83,有厅,低,是,否,5.9791
东城,2,56.03,有厅,低,是,是,7.0498
东城,2,71.76,有厅,高,是,是,6.9538
东城,2,49,有厅,中,是,是,6.7347
东城,2,67.09,有厅,高,是,否,8.198
东城,3,70.13,有厅,高,是,否,7.5574
东城,3,84.2,有厅,中,是,否,7.3635
东城,1,39.97,有厅,高,是,是,10.1326
东城,2,58.12,有厅,中,是,否,9.1191
东城,2,59.68,有厅,低,是,是,9.0148
东城,2,65.16,有厅,低,是,否,8.9933
东城,2,59.68,有厅,低,是,是,8.8472
东城,3,95.46,有厅,中,是,是,8.7995
东城,2,56.65,有厅,中,是,是,8.7909
东城,1,39.29,有厅,低,是,是,8.6537
东城,1,50.19,有厅,低,是,是,8.5675
东城,2,75.5,有厅,中,是,是,7.9471
东城,2,67,有厅,低,是,是,7.7612
东城,2,58,有厅,高,是,是,8.9656
东城,3,71.05,有厅,中,是,否,8.9374
东城,1,37.47,有厅,低,是,是,8.8071
东城,2,61,有厅,低,是,是,8.1968
东城,2,61,有厅,低,是,否,8.1968
东城,2,53.24,有厅,中,是,否,8.0767
东城,3,81,有厅,低,是,是,8.0247
东城,2,56.82,有厅,高,是,否,7.8318
东城,1,37.11,有厅,高,是,否,7.5991
东城,1,42.3,有厅,高,是,是,7.5651
东城,3,74,有厅,低,是,否,7.4325
东城,2,60,有厅,高,是,是,7.5
东城,3,65.29,无厅,高,是,是,7.4438
东城,2,55.59,有厅,高,是,是,7.1596
东城,1,44.73,有厅,低,是,是,7.1317
东城,3,88.24,有厅,低,是,是,7.083
东城,3,88.24,有厅,高,是,是,7.083
东城,2,69.83,有厅,中,是,是,6.9885
朝阳,1,41.84,有厅,中,否,否,6.2142
朝阳,2,61.86,有厅,高,是,否,5.658
朝阳,2,60.61,有厅,低,是,是,6.1871
东城,2,140.5,有厅,中,是,是,9.2527
东城,2,139.78,有厅,中,是,是,8.9427
朝阳,2,62.59,有厅,高,是,是,6.5506
朝阳,3,136.64,有厅,中,是,是,5.1962
朝阳,3,136.64,有厅,低,是,是,5.0864
朝阳,2,102.57,有厅,低,是,是,4.9723
朝阳,4,184.33,有厅,高,是,是,4.8826
朝阳,3,136.64,有厅,中,是,是,4.7571
朝阳,3,80,有厅,中,是,否,6
朝阳,2,69.96,有厅,中,是,否,5.8605
朝阳,2,68.69,有厅,高,是,否,5.4594
朝阳,2,59.61,有厅,高,是,否,5.536
朝阳,2,55.31,有厅,高,是,否,5.7675
朝阳,3,65.64,有厅,高,是,否,5.3322
朝阳,2,49.44,有厅,低,是,否,7.3827
朝阳,2,81.53,有厅,中,是,否,7.298
朝阳,2,49.93,有厅,低,是,否,7.2101
朝阳,2,62.77,有厅,低,是,否,7.0098
朝阳,3,81.02,有厅,中,是,否,6.9119
朝阳,2,54.21,有厅,中,是,否,6.7331
朝阳,2,53.65,有厅,高,是,否,6.5238
朝阳,3,81.97,有厅,高,是,否,6.4658
朝阳,2,54.61,有厅,中,是,否,6.3176
朝阳,2,53.99,有厅,中,是,否,6.2975
朝阳,2,54,有厅,高,是,否,6.2963
朝阳,1,45.35,有厅,中,是,否,6.1743
朝阳,2,63.47,有厅,高,是,否,6.1447
朝阳,2,54.01,有厅,低,是,否,6.11
朝阳,2,62.77,有厅,高,是,否,6.1017
朝阳,3,74.95,有厅,中,是,否,6.0041
朝阳,2,56.02,有厅,高,是,否,5.9801
朝阳,2,53.98,有厅,中,是,否,5.9282
朝阳,2,59.15,有厅,高,是,否,5.9172
朝阳,2,54.21,有厅,高,是,否,5.903
朝阳,2,58.53,有厅,低,是,否,5.809
朝阳,1,58.56,有厅,低,是,否,5.8061
朝阳,2,51.91,有厅,低,是,否,8.091
朝阳,3,71,有厅,高,是,否,7.1831
朝阳,2,60,有厅,低,是,否,7.1667
朝阳,3,78.54,有厅,高,是,否,7.0029
朝阳,2,57.15,有厅,低,是,否,6.9117
朝阳,3,76.09,有厅,中,是,否,6.7026
朝阳,2,56.99,有厅,中,是,否,6.6679
朝阳,2,58,有厅,高,是,否,6.638
朝阳,2,65,有厅,中,是,否,6.6154
朝阳,2,57.5,有厅,中,是,否,6.6087
朝阳,1,42,有厅,中,是,否,6.5477
朝阳,2,56.71,有厅,低,是,否,6.5245
朝阳,2,57.5,有厅,中,是,否,6.4348
朝阳,2,65.64,有厅,低,是,否,6.4138
朝阳,3,80.6,有厅,中,是,否,6.2035
朝阳,1,38.96,有厅,低,是,否,6.1602
朝阳,1,38.52,有厅,低,是,否,6.1008
朝阳,1,49.63,有厅,低,是,否,6.0448
朝阳,2,59.55,有厅,高,是,否,5.9614
朝阳,2,57.66,有厅,中,是,否,5.8967
朝阳,2,58.16,有厅,中,是,否,5.76
朝阳,2,68.18,有厅,高,是,否,5.6469
朝阳,1,38.99,有厅,中,是,否,5.1296
东城,3,108.21,有厅,低,是,否,8.0215
东城,2,65.82,有厅,高,是,否,7.9004
东城,1,47.6,有厅,中,是,否,7.8782
东城,2,65.82,有厅,低,是,否,7.2927
东城,2,66,有厅,高,是,是,7.2728
东城,2,65.82,有厅,中,是,是,6.533
朝阳,3,196.31,有厅,低,是,否,7.641
朝阳,2,144.31,有厅,高,是,否,6.9296
朝阳,3,196.31,有厅,高,是,否,6.9279
朝阳,2,144,有厅,低,是,否,6.1667
朝阳,4,204.38,有厅,中,否,是,4.4036
朝阳,3,137.36,有厅,中,否,是,5.1689
朝阳,2,109.79,有厅,高,否,是,5.1007
朝阳,2,110.69,有厅,中,否,是,5.0592
朝阳,3,126,有厅,低,否,是,4.8889
朝阳,3,136.82,有厅,低,否,是,4.7508
朝阳,4,170.94,有厅,高,否,是,4.6801
朝阳,2,107.34,有厅,低,否,是,4.6581
朝阳,3,139,有厅,低,否,是,5.036
朝阳,3,224,有厅,高,否,是,3.6608
朝阳,3,139.64,有厅,低,否,是,6.0871
朝阳,3,144.7,有厅,低,否,是,5.5978
朝阳,3,164.03,有厅,低,否,是,5.304
朝阳,3,143.32,有厅,中,否,是,5.3029
朝阳,3,141.87,有厅,中,否,是,5.2866
朝阳,3,164.36,有厅,中,否,是,5.0499
朝阳,3,139.85,有厅,中,否,是,5.0054
朝阳,3,221.27,有厅,低,否,是,4.429
朝阳,3,134.88,有厅,低,是,是,7.2658
朝阳,3,144.18,有厅,高,是,是,7.0745
朝阳,3,127.12,有厅,中,是,是,6.9226
朝阳,3,142.97,有厅,中,是,是,6.8546
朝阳,3,127.98,有厅,高,是,是,6.7198
朝阳,3,180.56,有厅,低,是,是,6.4799
朝阳,1,76,有厅,低,是,是,5.9211
朝阳,2,126.8,有厅,中,是,是,5.9937
朝阳,2,138.26,有厅,低,是,是,9.1133
朝阳,3,165.58,有厅,低,是,是,8.6968
朝阳,2,134.86,有厅,低,是,是,8.5274
朝阳,3,135,有厅,中,是,是,7.2963
朝阳,4,155.11,有厅,中,是,是,8.897
朝阳,3,154.65,有厅,低,是,是,7.4362
朝阳,2,109.25,有厅,低,是,是,6.4074
朝阳,3,108.95,有厅,高,是,是,5.7642
朝阳,2,79.27,有厅,中,是,否,6.4968
朝阳,2,86.8,有厅,中,是,否,6.4517
朝阳,1,57.5,有厅,低,是,否,6.4348
朝阳,2,112.71,有厅,低,是,否,6.3881
朝阳,3,130,有厅,高,是,否,6.3847
朝阳,1,66.54,有厅,中,是,否,6.3421
朝阳,2,83,有厅,低,是,否,6.2651
朝阳,3,91.12,有厅,中,是,否,6.0909
朝阳,3,146.71,有厅,低,是,否,5.9301
朝阳,1,67,有厅,低,是,否,5.5971
石景山,1,48.6,有厅,高,否,否,4.1153
石景山,2,49.87,有厅,低,否,否,4.0105
石景山,2,43,有厅,中,否,否,3.9535
石景山,2,48.6,有厅,低,否,否,3.8066
石景山,2,40.4,有厅,低,否,否,3.6634
石景山,2,70.35,有厅,中,否,否,3.639
石景山,3,49.5,有厅,高,否,否,3.394
石景山,2,78.8,有厅,中,否,否,3.2995
石景山,2,56.6,有厅,中,否,否,3.1803
海淀,3,80.2,有厅,高,是,否,7.4813
海淀,1,45.9,有厅,低,是,否,6.2092
海淀,1,44.7,有厅,中,是,否,5.8166
海淀,1,46,有厅,中,是,否,5.7174
海淀,2,63,有厅,高,是,否,5.7143
海淀,3,86.43,有厅,中,是,否,5.5768
海淀,2,66.4,有厅,低,是,否,5.4217
海淀,2,63,有厅,中,是,否,5.3651
海淀,4,109,有厅,高,是,否,5.3212
海淀,2,67.3,有厅,低,是,否,5.3195
海淀,2,66.4,有厅,低,是,否,5.3013
海淀,2,66.5,有厅,中,是,否,5.2632
海淀,2,66.4,有厅,低,是,否,5.0603
石景山,3,67,有厅,中,是,否,3.5075
石景山,2,65.3,有厅,低,否,否,3.3691
石景山,2,65.24,有厅,低,否,否,4.5985
石景山,2,57.54,有厅,中,是,否,3.9973
石景山,2,58.95,有厅,中,是,否,3.9865
石景山,2,57.7,有厅,高,是,否,3.9862
石景山,3,68.43,有厅,中,是,否,3.9457
石景山,2,61.3,有厅,中,否,否,3.9152
石景山,2,55,无厅,中,是,否,3.8182
石景山,1,44.01,有厅,低,否,否,3.8174
石景山,2,59,有厅,高,是,否,3.695
石景山,2,59.88,有厅,低,是,否,3.6741
石景山,2,57.46,有厅,高,是,是,3.6548
石景山,1,44,有厅,高,否,否,3.6364
石景山,2,58.8,有厅,高,是,否,3.5715
石景山,2,59.88,有厅,低,是,否,3.5071
石景山,2,59.41,有厅,高,是,否,3.4506
石景山,2,69.13,有厅,高,否,否,3.3994
石景山,2,57.26,有厅,高,是,否,3.3182
石景山,2,58.41,无厅,中,是,否,3.2187
石景山,2,165.88,有厅,低,是,否,2.8033
石景山,3,184.16,有厅,低,否,否,2.7151
石景山,1,33.46,有厅,低,是,否,4.6324
石景山,3,66,有厅,低,是,否,4.2425
石景山,1,36,有厅,低,是,否,3.8889
石景山,3,55,无厅,低,是,否,3.8182
石景山,3,69,有厅,中,是,否,3.7682
石景山,1,36.65,有厅,高,是,否,3.6835
石景山,2,51.31,有厅,低,是,否,3.6056
石景山,1,36.3,有厅,高,是,否,3.5813
石景山,2,51,有厅,中,是,否,3.5687
石景山,1,36.65,有厅,中,是,否,3.5471
石景山,2,50.37,有厅,中,是,否,3.5339
石景山,2,50.42,有厅,中,是,否,3.5304
石景山,3,56.77,无厅,高,是,否,3.523
石景山,2,54,有厅,低,是,否,3.5186
石景山,1,37,有厅,低,是,否,3.5136
石景山,2,50.39,有厅,高,是,否,3.5127
石景山,2,51,有厅,中,是,否,3.4902
石景山,2,50.39,有厅,高,是,否,3.473
石景山,2,66,有厅,中,是,否,3.4697
石景山,2,56.7,有厅,高,是,否,3.4392
石景山,2,56.77,有厅,中,是,否,3.435
石景山,2,50,有厅,高,是,否,3.4
石景山,2,56.55,有厅,低,是,否,3.3599
石景山,2,53.99,有厅,高,是,否,3.334
石景山,2,52.5,有厅,高,是,否,3.3334
石景山,2,59,无厅,中,是,否,3.3051
石景山,2,58.9,有厅,低,是,否,3.2938
石景山,3,70,有厅,高,是,否,3.2858
石景山,2,58.63,有厅,高,是,否,3.2407
石景山,2,54.03,有厅,高,是,否,3.202
石景山,3,57.18,无厅,中,是,否,3.148
石景山,3,69,有厅,高,是,否,3.116
石景山,2,65,有厅,高,是,否,3.077
石景山,2,65.22,有厅,高,是,否,3.0666
石景山,3,68.41,有厅,高,是,否,2.9967
石景山,1,40,有厅,高,否,否,3.8
石景山,1,53,有厅,高,否,否,3.7359
石景山,2,72.71,有厅,高,否,否,3.7134
石景山,1,58.25,有厅,中,否,否,3.691
石景山,1,55,有厅,中,否,否,3.6
石景山,2,58,有厅,高,否,否,3.1035
石景山,2,52.72,有厅,中,是,否,3.4523
石景山,2,57.46,有厅,低,是,否,4.612
石景山,3,89.3,有厅,低,是,否,4.0874
石景山,3,80.97,有厅,低,是,否,4.0756
石景山,1,53,有厅,高,是,否,4.0567
石景山,2,64.92,有厅,高,是,否,4.005
石景山,2,57.46,有厅,高,是,否,3.9854
石景山,2,84.43,有厅,高,是,否,3.7902
石景山,3,90.07,有厅,高,是,否,3.7194
石景山,2,62,有厅,中,是,否,3.6291
石景山,1,55.5,有厅,高,是,否,3.6037
石景山,2,57.97,有厅,中,是,否,3.5881
石景山,1,46.4,有厅,中,是,否,3.5561
石景山,2,79.29,有厅,高,是,否,3.5314
石景山,2,56.77,有厅,高,是,否,3.523
石景山,3,110.9,有厅,中,是,否,3.5167
石景山,2,85.36,有厅,低,是,否,3.4209
石景山,2,80.07,有厅,高,是,否,3.3721
石景山,2,81.96,有厅,中,是,否,3.3553
石景山,1,55.77,有厅,中,是,否,3.3172
石景山,2,80.07,有厅,高,是,否,3.2472
石景山,2,81.09,有厅,高,是,否,2.9351
石景山,2,61.38,有厅,高,是,否,4.3337
石景山,2,57.64,有厅,高,是,否,3.8168
石景山,2,61.8,有厅,低,是,否,3.7703
石景山,2,63.58,有厅,低,是,否,3.6962
石景山,2,56.82,有厅,高,是,否,3.6079
石景山,2,53.95,无厅,高,是,否,3.5589
石景山,2,66.4,有厅,中,是,是,3.5392
石景山,1,46.68,有厅,低,是,否,3.5348
石景山,2,46,无厅,高,是,否,3.4783
石景山,3,86.6,无厅,高,是,否,3.4643
石景山,3,124,有厅,高,是,否,3.2259
石景山,3,84.61,无厅,中,是,否,3.1912
石景山,2,54.04,无厅,中,是,否,2.8128
石景山,2,54.52,有厅,低,是,否,4.2187
石景山,2,58,有厅,高,是,否,4.138
石景山,2,58.76,有厅,高,是,否,4.0845
石景山,2,59,有厅,低,是,否,3.9831
石景山,2,58,有厅,低,是,否,3.8794
石景山,2,58.08,有厅,高,是,否,3.874
石景山,2,58.3,有厅,高,是,否,3.8594
石景山,2,60.93,有厅,中,是,否,3.8569
石景山,2,57.61,有厅,中,是,否,3.8188
石景山,2,59,有厅,高,是,否,3.8136
石景山,1,50,有厅,高,是,否,3.8
石景山,2,60.77,有厅,高,是,否,3.6203
石景山,2,58.6,有厅,中,是,否,3.5837
石景山,2,73,有厅,高,是,否,3.5617
石景山,2,60.77,有厅,低,是,是,3.538
石景山,2,59.6,有厅,高,是,否,3.5235
石景山,2,58.87,有厅,中,是,否,3.5163
石景山,2,58.45,有厅,高,是,否,3.5073
石景山,2,58.59,有厅,高,是,否,3.4989
石景山,2,73,有厅,高,是,否,3.2192
石景山,2,72.73,有厅,低,是,否,3.1624
石景山,2,59,有厅,高,是,否,3.0848
海淀,2,57.97,有厅,高,是,是,7.7627
海淀,2,55.4,有厅,高,是,是,7.5452
海淀,1,43.6,有厅,高,是,是,7.3395
